id;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1
123;Kde nájdem predmety programu Informatika?;Je možné nájsť popis predmetov pre odbor Informatiky?;Dajú sa zistiť predmety pre študíjny program Informatika?;Aké sú predmety študíjneho programu Informatika?;Aké sú predmety pre študíjny program Informatika?;Link: https://vzdelavanie.uniza.sk/vzdelavanie/plany.php
124;Kde nájdem predmety programu Manažment?;Je možné nájsť popis predmetov pre odbor Manažment?;Dajú sa zistiť predmety pre študíjny program Manažment?;Aké sú predmety študíjneho programu Manažment?;Aké sú predmety pre študíjny program Manažment?;Link: https://vzdelavanie.uniza.sk/vzdelavanie/plany.php
125;Kde nájdem predmety programu Počítačové Inžinierstvo?;Je možné nájsť popis predmetov pre odbor Počítačové Inžinierstvo?;Dajú sa zistiť predmety pre študíjny program Počítačové Inžinierstvo?;Aké sú predmety študíjneho programu Počítačové Inžinierstvo?;Aké sú predmety pre študíjny program Počítačové Inžinierstvo?;Link: https://vzdelavanie.uniza.sk/vzdelavanie/plany.php
126;Kde nájdem predmety programu Biomedicínske inžinierstvo?;Je možné nájsť popis predmetov pre odbor Biomedicínske inžinierstvo?;Dajú sa zistiť predmety pre študíjny program Biomedicínske inžinierstvo?;Aké sú predmety študíjneho programu Biomedicínske inžinierstvo?;Aké sú predmety pre študíjny program Biomedicínske inžinierstvo?;Link: https://vzdelavanie.uniza.sk/vzdelavanie/plany.php
127;Kde nájdem predmety programu Inteligentné informačné systémy?;Je možné nájsť popis predmetov pre odbor Inteligentné informačné systémy?;Dajú sa zistiť predmety pre študíjny program Inteligentné informačné systémy?;Aké sú predmety študíjneho programu Inteligentné informačné systémy?;Aké sú predmety pre študíjny program Inteligentné informačné systémy?;Link: https://vzdelavanie.uniza.sk/vzdelavanie/plany.php
128;Kde nájdem predmety programu Informačné systémy?;Je možné nájsť popis predmetov pre odbor Informačné systémy?;Dajú sa zistiť predmety pre študíjny program Informačné systémy?;Aké sú predmety študíjneho programu Informačné systémy?;Aké sú predmety pre študíjny program Informačné systémy?;Link: https://vzdelavanie.uniza.sk/vzdelavanie/plany.php
129;Kde nájdem predmety programu Informačný manažment?;Je možné nájsť popis predmetov pre odbor Informačný manažment?;Dajú sa zistiť predmety pre študíjny program Informačný manažment?;Aké sú predmety študíjneho programu Informačný manažment?;Aké sú predmety pre študíjny program Informačný manažment?;Link: https://vzdelavanie.uniza.sk/vzdelavanie/plany.php
130;Kde nájdem predmety programu Aplikované sieťové inžinierstvo.;Je možné nájsť popis predmetov pre odbor Aplikované sieťové inžinierstvo?;Dajú sa zistiť predmety pre študíjny program Aplikované sieťové inžinierstvo?;Aké sú predmety študíjneho programu Aplikované sieťové inžinierstvo?;Aké sú predmety pre študíjny program Aplikované sieťové inžinierstvo?;Link: https://vzdelavanie.uniza.sk/vzdelavanie/plany.php
131;Rátajú sa mi predmety ako povinne voliteľné v prípade, že ich nemám vo svojom odbore?;Budú mi uznané povinne voliteľné predmety z iných odborov?;Sú povinne voliteľné predmety z iných študíjnych programov uznávané?;Je možné uznať povinne voliteľné predmety v prípade že sú z iného odboru?;Sú povinne voliteľné predmety z iných študíjnych programov uznávané?;Študent môže požiadať o uznanie predmetov a kreditov
132;Ako dlho od absolvovania predmetu je možné ho uznať?;Po akú dlhú dobu od absolvovania je možné nechať si uznať predmet?;Aká dlhá je platnosť predmetov ktoré som absolvoval?;Aká je platnosť predmetov, ktoré som absolvoval v predchádzajúcich rokoch?;Koľko rokov platí známka z predmetu?;3 roky
133;Môžem si zapísať predmety aj z iného odboru?;Je možné si zapísať aj predmety z iného odboru?;Môžem si zapísať aj predmety ktoré sa nenachádzajú v mojom študíjnom programe?;Je možné si zapísať aj predmety iných študíjnych odborov?;Môžem si zapísať aj predmety ktoré sa nenachádzajú v mojom študíjnom odbore?;Môžeš, s písomným súhlasom garanta predmetu.
134;Prichádzam z FIIT, ako mám postupovať pri uznávaní predmetov?;Prechádzam z inej fakulty, ako si môžem nechať uznať predmety, ktoré som absolvoval?;Ako si môžem nechať uznať predmety absolvované na inej fakulte?;Aký je postup pri uznávaní predmetov absolvovaných na iných fakultách?;Ako mám konať v prípade že si chcem nechať uznať predmety z inej fakulty?;Študent môže požiadať o uznanie predmetov a kreditov 
135;Chcel by som si počas začatého ročníka prihlásiť predmety, je to možné? ;Je možné prihlásiť sa dodatočne na predmety?;Existuje možnosť prihlásiť sa na predmet aj po skončení prihlasovania?;Ako sa môžem prihlásiť na predmet potom ako už začal semester?;Dá sa prihlásiť na predmet aj potom ako už začal semester?;Áno.
136;Je možné odpísať si predmet na začiatku nového ročníka? prípadne bakalársku prácu.;Je možné odhlásiť sa z predmetu po začiatku semestra?;Je možné odhlásiť si bakalársky projekt po začiatku semestra?;Dá sa odhlásiť predmet potom ako začal ročník?;Existuje možnosť ako sa odhlásiť z predmetu potom ako začal semester?;Áno.
137;V rozvrhu sa mi nezobrazujú predmety, ako mám postupovať?;V rozvrhu nevidím všetky predmety, čo mám robiť?;Ako postupovať ak sa mi nezobrazujú v rozvrhu všetky moje predmety?;Môj rozvrh neobsahuje všetky predmety, ktoré mám prihlásené.;Čo mám robiť ak sa mi nezobrazujú všetky moje predmety v rozvrhu?;Musíte kontaktovať správcu stránky
138;Je možné uznať predmety aj po viac ako 3 rokoch od absolvovania skúšky?;Môžem si nechať uznať predmety aj viac ako 3 roky od absolvovania skúšky?;Dá sa absolvované predmety uznať aj viac ako 3 roky od absolvovania?;Uznavájú sa predmety aj viac ako 3 roky od ich absolvovania?;Je možné uznať predmet ktorý som absolvoval viac ako 3 roky dozadu?;Nie je to možné.
139;Kde nájdem vypísané predmety po novej akreditácií?;Kde je možné vidieť predmety v novej akreditácií?;Kde nájdem predmety aktuálne po novej akreditácií?;Je možné vidieť predmety ktoré sa nachádzajú v novej akreditácií?;Chcel by som nájsť predmety, ktoré sa nachádzajú v novej akreditácií.;Na stránke vzdelávania je nutné si navoliť akademický rok 2022/23 a prejsť na učebné plány.
140;Na Teamse sa mi zobrazujú predmety, ktoré som už absolvoval, čo s tým mám robiť?;V aplikácií teams ešte stále mám predmety, ktoré som už absolvoval.;Ako postupovať ak mám v aplikácií MS Teams už absolvované predmety?;Teams obsahuje predmety ktoré som absolvoval v minulých semestroch.;Ako môžem z aplikácie teams vymazať predmety ktoré som už absolvoval?;Je nutné osloviť správcu, prípadne prodekana pre vzdelávanie.
141;Na Teamse sa mi nezobrazujú predmety, ktoré mám zapísané, viete mi ich tam dokliknúť?;V aplikácií teams nemám predmety na ktoré som prihlásený;Nevidím v aplikácií teams všetky moje predmety.;Teams neobsahuje všetky predmety ktoré mám v rozvrhu.;Ako si môžem pridať do aplikácie teams všetky moje predmety?;Je nutné osloviť správcu, prípadne prodekana pre vzdelávanie.
142;Na Teamse sa mi zobrazujú predmety z minulých rokov, viete mi ich odpísať?;V aplikácií teams ešte stále mám predmety, ktoré som absolvoval v minulých rokoch.;Ako postupovať ak mám v aplikácií MS Teams predmety z minulých rokov?;Teams obsahuje predmety ktoré som absolvoval v minulých rokoch.;Ako môžem z aplikácie teams vymazať predmety ktoré som už absolvoval počas minulých rokov?;Je nutné osloviť správcu, prípadne prodekana pre vzdelávanie.
143;Na Teamse sa mi zobrazujú bakalárske predmety, čo s tým mám robiť?;V aplikácií teams ešte stále mám predmety, ktoré som absolvoval počas bakalárskeho štúdia.;Ako postupovať ak mám v aplkácií MS Teams predmety z bakalárskeh štúdia?;Teams obsahuje predmety ktoré som absolvoval počas bakalárskeho štúdia.;Ako môžem z aplikácie teams vymazať predmety ktoré som už absolvoval počas bakalárskeho štúdia?;Je nutné osloviť správcu, prípadne prodekana pre vzdelávanie.
144;Aký výber predmetov mám?;Kde nájdem aké predmety mám na výber?;Aké predmety mám na výber počas môjho štúdia?;Ktoré predmety mám na výber na prihlásenie?;Aké voliteľne a povinne voliteľné predmety mám na výber?;Link: https://vzdelavanie.uniza.sk/vzdelavanie/plany.php
145;Kedy je príjmacie konanie?;Kedy sú prijímačky?;Kedy budú prebiehať prijímačky na FRI?;V aký dátum prebiehajú príjmačky?;Kedy prebieha príjmacie konanie na fakultu?;Odpoveď nájdeš na linku: https://www.fri.uniza.sk/stranka/podmienky-prijatia
146;Kde nájdem informácie o prijímacom konaní?;Kde nájdem informácie o príjmacom konaní?;Ako nájdem viac informácií o príjmacom konaní?;Kde je možné nájsť informácie o príjmačkach?;Kde je možné nájsť informácie o príjmacom konaní?;Odpoveď nájdeš na linku: https://www.fri.uniza.sk/stranka/podmienky-prijatia
147;Aké sú podmienky prijatia na bakalárske štúdium bez prijímačiek?;Za akých podmienok môžem ísť na bakalárske štúdium bez príjmačiek?;Aké sú podmienky pre prijatie na bakalára bez príjmačiek?;Kedy je možné ísť na bakalárske štúdium bez príjmacieho konania?;Čo musím spĺňať aby som bol prijatý na bakalárske štúdium bez príjmačiek?;Odpoveď nájdeš na linku: https://www.fri.uniza.sk/stranka/podmienky-prijatia
148;Aké sú podmienky prijatia na inžinierske štúdium programu x bez prijímačiek?;Za akých podmienok môžem ísť na inžinierske štúdium bez príjmačiek?;Aké sú podmienky pre prijatie na inžiniera bez príjmačiek?;Kedy je možné ísť na inžinierske štúdium bez príjmacieho konania?;Čo musím spĺňať aby som bol prijatý na inžinierske štúdium bez príjmačiek?;Odpoveď nájdeš na linku: https://www.fri.uniza.sk/stranka/podmienky-prijatia
149;Čo všetko si treba priniesť na prijímačky?;Čo všetko je potrebné priniesť na príjmacie konanie?;Čo je nutné doniesť na príjmacie konanie?;Aké dokumenty sú potrebné pri prijmačkách?;Čo si mám doniesť na príjmacie konanie?;Odpoveď nájdeš na linku: https://www.fri.uniza.sk/stranka/podmienky-prijatia
150;Kde nájdem výsledky prijímačiek?;Kde nájdem výsledky prijímacieho konania?;Kde je možné nájst výsledky príjmačiek?;Kde je možné nájsť výsledky príjmacieho konania?;Kde sú výsledky príjmacieho konania?;Odpoveď nájdeš na linku: https://www.fri.uniza.sk/stranka/podmienky-prijatia
151;Ako prebieha prijímacie konanie na univerzite?;Ako prebieha príjmacie konanie?;Ako prebiehajú príjmačky?;Aký je postup pri príjmacom konaní?;Ako sa postupuje počas príjmačiek?;Odpoveď nájdeš na linku: https://www.fri.uniza.sk/stranka/podmienky-prijatia
152;Aké sú podmienky pre prijatie na doktorantské štúdium?;Aké podmienky pre prijatie má doktorantské štúdium?;Aké podmienky musím spĺňať pre doktorantské štúdium?;Ktoré podmienky sú potrebné pre doktorantské štúdium?;Za akých podmienok môžem ísť na doktorantské štúdium?;Odpoveď nájdeš na linku: https://www.fri.uniza.sk/stranka/podmienky-prijatia
153;Aké sú podmienky prijatia bez prijímačiek?;Za akých podmienok môžem ísť študovať bez príjmačiek?;Aké sú podmienky pre prijatie bez príjmačiek?;Kedy je možné byť prijatý bez príjmacieho konania?;Čo musím spĺňať aby som bol prijatý bez príjmačiek?;Odpoveď nájdeš na linku: https://www.fri.uniza.sk/stranka/podmienky-prijatia
154;Aké testy môžem očakávať na prijímačkach?;Aké otázky môžem očakávaň na príjmacom konaní?;Aký typ testu môžem očakávať na príjmacom konaní?;Aké testy sú súčasťou príjmacieho konania?;Čo je súčasťou testov na príjmačkách?;Link na testy z miulých rokov: https://www.fri.uniza.sk/stranka/testy-z-uplynulych-rokov
155;Kde môžem nájsť projekty inžinierského štúdia?;Kde nájdem vypísané inžinierske projekty?;Kde sú dostupné projekty inžinierského štúdia?;Je možné nájsť výpis projektov inžinierského štúdia?;Kde sa nachádzajú dostupné inžinierske projekty?;Na linku: https://www.fri.uniza.sk/ing-projekty/
156;Nebaví ma inžiniersky projekt je možné ho zmeniť?;Môžem zmeniť inžiniersky projekt?;Je možné zmeniť inžiniersky projekt?;Chcel by som zmeniť inžiniersky projekt.;Ako postupovať ak chcem zmeniť inžiniersky projekt?;Žiadosť o zmenu projektu, na linku: https://www.fri.uniza.sk/stranka/tlaciva-studium
157;Ako si vyberiem projekt na inžinierskom štúdiu?;Ako si vybrať inžiniersky projekt?;Aké sú možnosti výberu inžinierského projektu?;Ako si vybrať projekt počas inžinierskeho štúdia?;Aké sú možnosti výberu projektu počas inžinierskeho štúdia?;Žiadosť o zmenu projektu, na linku: https://www.fri.uniza.sk/stranka/tlaciva-studium
158;Kedy je začiatok letného semestra?;Kedy začína letný semester?;V aký dátum začína letný semester?;Aký je dátum začiatku letného semestra?;Aký je začiatok letného semestra?;Letný semester začína predposledný týždeň v mesiaci február. Presný dátum nájdete v kalendári na stránke: https://www.fri.uniza.sk/
159;Kedy je koniec letného semestra?;Kedy končí letný semester?;V aký dátum končí letný semester?;Aký je dátum konca letného semestra?;Aký je koniec letného semestra?;Letný semester končí trinásť týždňov po jeho začiatku, teda v druhej polovici mája. Presný dátum nájdete v kalendári na stránke: https://www.fri.uniza.sk/
160;Kedy je začiatok zimného semestra?;Kedy začína zimný semester?;V aký dátum začína zimný semester?;Aký je dátum začiatku zimného semestra?;Aký je začiatok zimného semestra?;Zimný semester začína predposledný týždeň v mesiaci september. Presný dátum nájdete v kalendári na stránke: https://www.fri.uniza.sk/
161;Kedy je koniec zimného semestra?;Kedy končí zimný semester?;V aký dátum končí zimný semester?;Aký je dátum konca zimného semestra?;Aký je koniec zimného semestra?;Zimný semester končí pred zimnými sviatkami. Presný dátum nájdete v kalendári na stránke: https://www.fri.uniza.sk/
162;Kedy je koniec letného skúškového obdobia?;Kedy končí skúškové obdobie letného semestra?;V aký dátum končí skúškové obdobie počas letného semestra?;Aký je dátum konca skúškového obdobia letného semestra?;Aký je koniec skúškového obdobia letného semestra?;Skúškové obdobie končí v prvej polovici júla. Presný dátum nájdete v kalendári na stránke: https://www.fri.uniza.sk/
163;Kedy je koniec zimného skúškového obdobie?;Kedy končí skúškové obdobie zimného semestra?;V aký dátum končí skúškové obdobie počas zimného semestra?;Aký je dátum konca skúškového obdobia zimného semestra?;Aký je koniec skúškového obdobia zimného semestra?;Skúškové obdobie končí v prvej polovici júla. Presný dátum nájdete v kalendári na stránke: https://www.fri.uniza.sk/
164;Kedy začína skúškové obdobie letného semestra?;Kedy začína skúškové obdobie letného semestra?;V aký dátum začína skúškové obdobie počas letného semestra?;Aký je dátum začiatku skúškového obdobia letného semestra?;Aký je začiatok skúškového obdobia letného semestra?;Skúškové obdobie začína po konci vyučovaní v semestri, teda v druhej polovici mája. Presný dátum nájdete v kalendári na stránke: https://www.fri.uniza.sk/
165;Kedy začína skúškové obdobie zimného semestra?;Kedy začína skúškové obdobie zimného semestra?;V aký dátum začína skúškové obdobie počas zimného semestra?;Aký je dátum začiatku skúškového obdobia zimného semestra?;Aký je začiatok skúškového obdobia zimného semestra?;Skúškové obdobie začína po zimných sviatkoch, teda približne v druhom týždni mesiaca január. Presný dátum nájdete v kalendári na stránke: https://www.fri.uniza.sk/
